date,CVX,HES,OXY,SO,BALL,ECL,VMC,FDX,LMT,MMM,RHI,UPS,AMZN,AZO,BBWI,F,HAS,YUM,CPB,EL,MKC,PEP,PM,A,ABC,BIIB,CVS,DGX,JNJ,SYK,AIG,BAC,PGR,SCHW,WFC,AAPL,AKAM,CRM,CTSH,MA,ORCL,DIS,EA,T,AES,CMS,DUK,EQR,PLD,SPG
2010-01-04,6912.138207792548,258.984849099296,550.008806097672,618.812226687389,681.019320760749,536.483103686949,61.601094095245,690.149046556404,199.667753896775,1297.1552737986667,352.102984410355,70.768014929935,1606.8000642720033,632.12,204.638587694894,448.771705729741,719.850189751537,163.514740255041,1029.242083390184,110.624622078122,42.085528785423,1580.472748200548,53.588301440331,31.3,227.857909758342,321.8399935632,817.09487343577,255.827564524932,1851.240729127819,1313.09317020366,49.865184660255,300.96498697257,2588.843420202455,1076.929694131278,1343.460098202409,1875.449341923308,25.92,74.81999999999998,1123.1999101440067,259.901152156258,2012.849838972013,1866.174296140388,290.4,960.7833645302179,90.23462653129103,27.844067859256,220.867659794563,175.090402215156,46.984370150165,205.167027069465
2010-01-05,6961.098458189258,260.584027236546,546.037623382165,606.342927683463,673.364502714476,528.302477354485,61.834741332473,699.163575744499,201.746273130574,1289.0304756491207,356.517254863877,70.889651256731,1616.280064651203,626.84,197.96213454897097,478.456993657389,711.88626632466,162.955556190333,1031.065364317359,110.191604397965,41.969590689596,1599.570557372141,53.121371964762,30.96,226.232186782222,320.2799935944,813.874062837024,250.506554083544,1829.774579671327,1325.428593006571,48.9309423247,310.747787696344,2580.228300667672,1073.66297109549,1380.3413234458867,1878.691789736548,26.69,74.5,1135.919909126407,259.132094082598,2010.419839166413,1861.519043764609,298.56,956.076937971987,89.310497217876,27.755897916699,217.223408483869,174.408912625696,47.66959746414,203.763197943546
2010-01-06,6961.972748374913,261.281104886117,552.590074862751,614.90393893989,674.66192950198,526.761199929528,62.909518623723,693.374428559484,198.784383222411,1307.311271485599,372.876021838694,70.366615051508,1587.0000634800033,620.96,202.095176972638,496.355476084353,711.2226060390872,161.790589388858,1019.517918445252,110.533460461247,42.131904023755,1583.569690228374,53.121371964762,30.85,224.093077603116,320.5799935884,806.689177655205,246.651962517114,1844.657776627828,1345.819802129749,48.613967246565,314.392360515005,2554.382942063321,1054.062632880765,1382.308322125539,1848.808689619926,26.47,74.37,1135.919909126407,258.757466007454,1981.259841499213,1851.6266324660787,290.88,942.087065769005,88.386367904461,27.667727974143,218.004319479018,175.40493587183,47.243645350047,201.475476405012
2010-01-07,6935.744042805247,266.283662135976,548.486519390061,612.29841377489,673.105017356976,532.4520704216769,62.115118017147,685.8485372189649,193.32827023369,1308.248748195162,379.49742751897696,69.831415213605,1560.000062400002,629.2,198.809938123056,509.015378288792,701.046481660301,161.743990716799,1004.020030564266,111.923675118594,42.456530692072,1573.504628637939,53.783760290569,30.81,220.499374182219,317.9399936412,836.419737028247,249.040133378924,1831.491871627847,1390.8818568587467,47.67972491101,324.750620104883,2519.922463924187,1050.25145600568,1432.466788456668,1845.3909743573208,26.48,74.04,1092.959912563207,257.066571625577,1974.779842017613,1852.208539013052,288.64,931.5094855303822,88.45237714113301,27.315048203918,219.045534139216,177.082448707424,47.632558149871,204.101156807193
2010-01-08,6947.984105404425,269.933068654317,554.112361570362,610.9956511923912,675.570128253233,536.957342894628,61.507635200353,702.885170363437,196.446049084388,1317.467269172531,379.23776455112306,73.188577833176,1602.240064089603,621.12,207.605900204193,510.325023344423,702.816242421829,161.790589388858,997.6385473191541,112.379483202971,42.572468787899,1568.343058591562,53.490572015212,30.8,222.895176462817,324.4799935104,842.365848902856,249.040133378924,1837.788608801751,1395.161493341389,48.947625223549,321.873325774361,2542.896116016943,1043.1735560948073,1419.189547369016,1857.6596958128257,26.48,74.15,1124.639910028807,257.15769767011,1999.079840073613,1855.1180717479128,294.4,924.685240215141,90.960728134688,27.420852134986,219.17568597174096,174.828290834594,47.50292054993,199.213751702143
2010-01-11,7071.259021581853,267.103753488412,549.082196797387,618.998335627746,672.067075926973,548.694763284685,60.958564192867,721.57584556077,197.381382739597,1312.1549011516747,381.055405326103,76.411940493271,1563.7200625488033,621.92,216.825764072374,528.660054123265,702.152582136256,164.586509712398,1000.677348864445,113.450632201255,42.920283075382,1566.536509075331,53.68603086545,30.82,225.37654311058,323.399993532,840.6315662727619,249.668599395189,1838.0748241278377,1390.8818568587467,49.431429290176,324.750620104883,2478.2827195060654,1040.451286898317,1416.239049349538,1841.2721892972577,26.39,73.65,1115.5199107584067,252.925399157388,1999.889840008813,1824.85893130535,292.32,920.2494807602349,91.55481126474,27.773531905211,221.388267124662,174.304068073471,47.558479521334,199.395729551799
2010-01-12,7030.167382856044,256.401561339122,530.5500107916889,615.090047880247,671.029134496969,550.473160313482,60.841740574253,716.0348046836849,197.355401249174,1313.248623979498,367.552930997682,75.901067920727,1528.200061128002,620.56,216.507837732092,518.182893678212,691.091577376706,167.708620740351,1012.528674891082,112.949243308441,43.314472601196,1588.473181772432,53.392842590093,30.45,226.916701719536,319.49999361,831.464643799407,248.076485487316,1847.80614521478,1389.874883568713,47.479530124819,313.816901648901,2484.026132529256,1039.362379219721,1380.8330731158,1820.3277290982169,26.16,68.29,1132.799909376007,252.78364753256,1989.359840851213,1793.435977768842,269.6,919.9082684944728,90.49866347798,27.614826008609,221.648570789712,171.787798820079,46.502859064668,195.470207366359
2010-01-13,6976.835681531057,258.082748611616,527.042132726325,623.837168077031,673.753730750727,557.942427834427,61.671188266413,709.749444882812,199.745698368043,1309.029978786465,368.98107732088096,75.499668042301,1549.320061972802,619.0,214.388328796878,509.888474992546,701.046481660301,168.224213206121,1027.722682617539,113.883649881412,43.70866212701,1601.377106888373,53.935783840754,30.69,231.366048812076,324.4799935104,841.6225849185299,251.13502009981,1859.5409735843289,1396.420209953931,48.480504055771,318.804211821805,2544.33196927274,1039.9068330590187,1405.420556611451,1846.004410430096,26.04,68.5,1170.7199063424073,259.354847854944,2008.799839296013,1820.785585476544,274.72,908.989475990087,92.94100523486303,27.826433870744,222.16917811981097,177.239715535761,47.762195749813,197.445966876912
2010-01-14,6954.978426889669,258.369780584969,531.145688199015,622.348296554174,670.639906460718,549.998921105803,61.507635200353,713.636443707036,199.641772406353,1304.6550874751713,374.17433667796496,75.657795267135,1528.200061128002,617.52,211.103089947296,513.380861807563,708.346744801604,170.052227782616,1022.556719990543,113.724117051881,43.662286888679,1620.732994562286,53.859772065662,31.15,232.820643053868,326.1599934768,841.127075595646,255.157202603911,1863.261772823454,1410.266092691891,47.713090708708,322.640604262501,2548.639529040132,1044.2624637734027,1425.582293077886,1835.31309601887,26.88,69.19,1154.639907628807,263.739023108552,2052.539835796813,1805.0741087082895,274.88,893.634924030795,93.007014471535,27.861701847767,222.16917811981097,176.925181879087,47.576999178468,198.329859289527
2010-01-15,6927.001140948692,255.991515662904,522.3428998463089,620.487207150603,667.007111455708,547.034926057808,59.766963283003,703.877595595154,199.433920482973,1302.623887937784,370.79871809586,75.32937718478598,1525.680061027202,620.32,205.48639126898,506.396088177528,711.443826134278,167.193025496304,1002.50062979162,113.405051392817,43.5811302216,1607.570990944025,53.881489715688,30.43,230.339276406105,325.0799934984,840.136056949877,252.433849866759,1847.80614521478,1410.5178360144,46.812214170851,311.898705428553,2502.69222485462,1034.46229466604,1380.8330731158,1804.641292380107,26.61,68.63,1150.079907993607,265.936173293386,2044.439836444813,1780.63403373545,272.48,879.9864334003131,92.67696828817299,27.667727974143,219.95659696689,174.933135386819,47.354763292854,194.690302296404
